crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	70.913780	1538	0.000000
281474976710655.000000	67.579994	1539	0.000000
281474976710655.000000	73.717728	1540	0.000000
281474976710655.000000	62.180309	1541	0.000000
281474976710655.000000	68.396362	1542	0.000000
281474976710655.000000	67.588539	1543	0.000000
281474976710655.000000	42.572803	1544	0.000000
281474976710655.000000	68.821922	1545	0.000000
281474976710655.000000	62.031734	1546	0.000000
281474976710655.000000	68.426163	1547	0.000000
281474976710655.000000	49.205765	1548	0.000000
281474976710655.000000	63.848686	1549	0.000000
281474976710655.000000	69.292267	1550	0.000000
281474976710655.000000	66.583038	1551	0.000000
281474976710655.000000	69.865074	1552	0.000000
281474976710655.000000	65.350838	1553	0.000000
281474976710655.000000	63.926804	1554	0.000000
281474976710655.000000	68.693779	1555	0.000000
281474976710655.000000	130.655289	1556	0.000000
281474976710655.000000	68.547539	1557	0.000000
281474976710655.000000	67.263496	1558	0.000000
281474976710655.000000	50.540314	1559	0.000000
281474976710655.000000	50.439098	1560	0.000000
281474976710655.000000	69.002251	1561	0.000000
281474976710655.000000	65.755066	1562	0.000000
281474976710655.000000	67.495628	1563	0.000000
281474976710655.000000	66.301796	1564	0.000000
281474976710655.000000	66.978127	1565	0.000000
281474976710655.000000	50.671093	1566	0.000000
281474976710655.000000	102.396393	1567	0.000000
281474976710655.000000	64.185280	1568	0.000000
281474976710655.000000	42.984642	1569	0.000000
281474976710655.000000	49.316864	1570	0.000000
281474976710655.000000	133.414337	1571	0.000000
281474976710655.000000	65.654831	1572	0.000000
281474976710655.000000	65.029984	1573	0.000000
281474976710655.000000	103.793495	1574	0.000000
281474976710655.000000	66.392181	1575	0.000000
281474976710655.000000	64.924301	1576	0.000000
281474976710655.000000	65.257454	1577	0.000000
281474976710655.000000	72.735054	1578	0.000000
281474976710655.000000	67.050301	1579	0.000000
281474976710655.000000	43.967648	1580	0.000000
281474976710655.000000	60.832314	1581	0.000000
281474976710655.000000	64.947769	1582	0.000000
281474976710655.000000	62.368809	1583	0.000000
281474976710655.000000	64.163345	1584	0.000000
